cliente_id;nombre;apellido;email;telefono;fecha_registro;ciudad;pais
126;Jose Luis;Donaire;joseluis.donaire.8473@hotmail.com;+34 925 83 31 93;2024-03-04;Sevilla;España
127;Dulce;Matas;dulce.matas.8474@gmail.com;+34 821193731;2024-03-04;Concepción;Chile
128;Dionisio;Franco;dionisio.franco.6427@gmail.com;+34 886 03 89 17;2024-03-05;Santiago;Chile
129;Renato;León;renato.leon.4381@outlook.com;+34827 607 824;2024-03-06;Salto;Uruguay
130;Emilia;Huguet;emilia.huguet.2333@outlook.com;+34 923 147 141;2024-03-07;Montevideo;Uruguay
131;Gerónimo;Arce;geronimo.arce.8479@gmail.com;+34 902 73 16 03;2024-03-09;Punta del Este;Uruguay
132;Celestina;Mulet;celestina.mulet.4384@outlook.com;+34 844 92 83 98;2024-03-10;Valparaíso;Chile
133;Odalis;Giralt;odalis.giralt.4390@outlook.com;+34855 132 429;2024-03-10;Barcelona;España
134;Concha;Durán;concha.duran.4396@gmail.com;+34979 98 21 09;2024-03-10;Santiago;Chile
135;Eleuterio;Gelabert;eleuterio.gelabert.6447@hotmail.com;+34 828 20 53 57;2024-03-10;Punta del Este;Uruguay
136;Pastora;Roldan;pastora.roldan.8497@yahoo.com;+34 824 991 800;2024-03-11;Barcelona;España
137;Eli;Juárez;eli.juarez.8498@gmail.com;+34 884 981 854;2024-03-11;Barcelona;España
138;Marisela;Mayo;marisela.mayo.8500@yahoo.com;+34873 70 84 52;2024-03-11;Córdoba;Argentina
139;Ofelia;Cortina;ofelia.cortina.8501@gmail.com;+34980711212;2024-03-11;Madrid;España
140;Graciela;Niño;graciela.niño.2356@hotmail.com;+34709 23 64 27;2024-03-14;Santiago;Chile
141;Arturo;Linares;arturo.linares.4411@gmail.com;+34872 322 415;2024-03-14;Concepción;Chile
142;Sebastian;Bastida;sebastian.bastida.8508@gmail.com;+34 820 876 117;2024-03-16;Madrid;España
143;Olga;Manso;olga.manso.8509@hotmail.com;+34 901357656;2024-03-16;Salto;Uruguay
144;Eufemia;Fuentes;eufemia.fuentes.4415@yahoo.com;+34884 906 146;2024-03-17;Córdoba;Argentina
145;Eutropio;Céspedes;eutropio.cespedes.4416@gmail.com;+34 983852224;2024-03-18;Montevideo;Uruguay
146;Hermenegildo;Luís;hermenegildo.luis.2368@gmail.com;+34 847784430;2024-03-19;Punta del Este;Uruguay
147;Paulina;Infante;paulina.infante.2370@yahoo.com;+34 924 110 140;2024-03-19;Barcelona;España
148;Nicodemo;Manuel;nicodemo.manuel.6472@yahoo.com;+34 958336886;2024-03-20;Montevideo;Uruguay
149;Rafael;Sáez;rafael.saez.6474@outlook.com;+34924 843 986;2024-03-20;Buenos Aires;Argentina
150;José Antonio;Soler;joseantonio.soler.4427@gmail.com;+34 670 90 34 07;2024-03-21;Rosario;Argentina
151;Virginia;Barriga;virginia.barriga.4430@outlook.com;+34 847 333 465;2024-03-22;Salto;Uruguay
152;Verónica;Escrivá;veronica.escriva.2384@gmail.com;+34827892645;2024-03-22;Madrid;España
153;Cristian;Figueroa;cristian.figueroa.6482@yahoo.com;+34969 965 852;2024-03-22;Salto;Uruguay
154;Paloma;Mateu;paloma.mateu.2388@outlook.com;+34 924770863;2024-03-23;Sevilla;España
155;Chema;Falcó;chema.falco.6486@hotmail.com;+34983 61 89 41;2024-03-24;Sevilla;España
156;Daniela;Varela;daniela.varela.8542@yahoo.com;+34 822 035 091;2024-03-24;Valparaíso;Chile
157;Carla;Talavera;carla.talavera.8546@hotmail.com;+34846 499 895;2024-03-24;Sevilla;España
158;Maxi;Godoy;maxi.godoy.2403@outlook.com;+34819 447 057;2024-03-24;Montevideo;Uruguay
159;Noelia;Juliá;noelia.julia.6500@hotmail.com;+34873926991;2024-03-25;Valparaíso;Chile
160;Édgar;Iniesta;edgar.iniesta.6499@hotmail.com;+34 710 80 18 37;2024-03-25;Buenos Aires;Argentina
161;América;Ferrera;america.ferrera.6501@yahoo.com;+34 708 754 895;2024-03-26;Sevilla;España
162;Celestina;Araujo;celestina.araujo.2409@outlook.com;+34847 033 937;2024-03-26;Rosario;Argentina
163;Augusto;Amorós;augusto.amoros.4460@yahoo.com;+34875 254 799;2024-03-26;Salto;Uruguay
164;Cristóbal;Cañete;cristobal.cañete.2413@gmail.com;+34 823 45 55 61;2024-03-27;Buenos Aires;Argentina
165;Ciro;Canals;ciro.canals.8559@yahoo.com;+34 888 054 845;2024-03-27;Santiago;Chile
166;Reinaldo;Uriarte;reinaldo.uriarte.4464@yahoo.com;+34823441218;2024-03-27;Valparaíso;Chile
167;Florina;Diaz;florina.diaz.2417@gmail.com;+34 985 965 293;2024-03-28;Madrid;España
168;Cayetana;Méndez;cayetana.mendez.8562@gmail.com;+34875486603;2024-03-28;Córdoba;Argentina
169;Jonatan;Pellicer;jonatan.pellicer.4467@yahoo.com;+34973 407 185;2024-03-29;Rosario;Argentina
170;Luciano;Talavera;luciano.talavera.2424@outlook.com;+34 945 77 25 40;2024-03-29;Salto;Uruguay
171;Nacio;Olivares;nacio.olivares.8578@outlook.com;+34 942580111;2024-03-29;Santiago;Chile
172;Herminio;Cerdán;herminio.cerdan.8584@gmail.com;+34943 78 74 68;2024-03-30;Montevideo;Uruguay
173;Isaura;Botella;isaura.botella.2440@outlook.com;+34976311066;2024-03-30;Buenos Aires;Argentina
174;Cecilia;Fuster;cecilia.fuster.4490@outlook.com;+34 843133742;2024-03-31;Rosario;Argentina
175;Juan Bautista;Cadenas;juanbautista.cadenas.8587@outlook.com;+34 982 27 32 51;2024-03-31;Buenos Aires;Argentina
176;Primitivo;Segovia;primitivo.segovia.2450@yahoo.com;+34844 03 83 90;2024-04-01;Punta del Este;Uruguay
177;Begoña;Barceló;begoña.barcelo.2452@outlook.com;+34 988 64 20 42;2024-04-02;Montevideo;Uruguay
178;Emilia;Girón;emilia.giron.8599@gmail.com;+34 882899038;2024-04-02;Madrid;España
179;Javi;Porta;javi.porta.2455@hotmail.com;+34839062262;2024-04-04;Buenos Aires;Argentina
180;Melania;Esteve;melania.esteve.8602@hotmail.com;+34880 962 643;2024-04-06;Valparaíso;Chile
181;Gracia;Velasco;gracia.velasco.2458@hotmail.com;+34 984 156 447;2024-04-07;Santiago;Chile
182;Hortensia;Teruel;hortensia.teruel.4508@outlook.com;+34979 13 63 75;2024-04-08;Madrid;España
183;Domingo;Gutierrez;domingo.gutierrez.6555@hotmail.com;+34976184890;2024-04-08;Valparaíso;Chile
184;Atilio;Tello;atilio.tello.4511@gmail.com;+34 885 562 511;2024-04-10;Sevilla;España
185;Che;Arco;che.arco.6559@outlook.com;+34 848 732 598;2024-04-12;Concepción;Chile
186;América;Trujillo;america.trujillo.2463@hotmail.com;+34 886 10 78 95;2024-04-12;Madrid;España
187;Paca;Moll;paca.moll.2466@hotmail.com;+34 871 45 53 80;2024-04-13;Barcelona;España
188;Carmela;Bello;carmela.bello.2473@yahoo.com;+34 855 77 60 51;2024-04-13;Salto;Uruguay
189;Cloe;Casal;cloe.casal.2475@hotmail.com;+34 984656539;2024-04-14;Madrid;España
190;Joan;Quintanilla;joan.quintanilla.8625@hotmail.com;+34 881 398 796;2024-04-15;Sevilla;España
191;Guadalupe;Sanabria;guadalupe.sanabria.6579@outlook.com;+34703 78 20 79;2024-04-16;Rosario;Argentina
192;Delfina;Cuadrado;delfina.cuadrado.6584@hotmail.com;+34 736152382;2024-04-16;Madrid;España
193;Gregorio;Barbero;gregorio.barbero.6586@outlook.com;+34827 43 85 05;2024-04-21;Sevilla;España
194;Cipriano;Jimenez;cipriano.jimenez.4538@hotmail.com;+34902711945;2024-04-21;Buenos Aires;Argentina
195;Cleto;Baños;cleto.baños.6587@hotmail.com;+34 847 72 42 90;2024-04-22;Montevideo;Uruguay
196;Lola;Arcos;lola.arcos.4539@yahoo.com;+34 821851435;2024-04-22;Salto;Uruguay
197;Juan;Chacón;juan.chacon.8634@yahoo.com;+34749 506 733;2024-04-22;Valparaíso;Chile
198;Arcelia;Guerra;arcelia.guerra.8638@yahoo.com;+34881525435;2024-04-23;Concepción;Chile
199;Concha;Quiroga;concha.quiroga.4546@gmail.com;+34 722 058 236;2024-04-23;Salto;Uruguay
200;Modesto;Vargas;modesto.vargas.2504@yahoo.com;+34 828 574 925;2024-04-23;Buenos Aires;Argentina
201;Flor;Rozas;flor.rozas.8649@hotmail.com;+34 827320016;2024-04-23;Sevilla;España
202;Anastasio;Cerdá;anastasio.cerda.4554@outlook.com;+34821 55 50 28;2024-04-24;Sevilla;España
203;Román;Cobos;roman.cobos.2508@gmail.com;+34983182818;2024-04-24;Madrid;España
204;Serafina;Cámara;serafina.camara.6605@yahoo.com;+34980 19 80 98;2024-04-26;Concepción;Chile
205;Fidel;Puig;fidel.puig.8653@outlook.com;+34822065403;2024-04-28;Salto;Uruguay
206;Virgilio;Andres;virgilio.andres.8656@yahoo.com;+34 874 40 23 24;2024-04-29;Córdoba;Argentina
207;Merche;Zapata;merche.zapata.8657@hotmail.com;+34886588689;2024-04-30;Santiago;Chile
208;Saturnina;Guzmán;saturnina.guzman.2518@gmail.com;+34924 94 63 73;2024-05-01;Punta del Este;Uruguay
209;Elpidio;Cózar;elpidio.cozar.2525@outlook.com;+34975 63 96 47;2024-05-01;Madrid;España
210;Bibiana;Ribas;bibiana.ribas.6622@outlook.com;+34 983818361;2024-05-02;Punta del Este;Uruguay
211;Juanita;Baños;juanita.baños.2529@yahoo.com;+34982263829;2024-05-03;Punta del Este;Uruguay
212;Paco;Cabrero;paco.cabrero.2530@outlook.com;+34 972 256 442;2024-05-04;Madrid;España
213;Fabiola;Jara;fabiola.jara.8674@outlook.com;+34 930422561;2024-05-04;Córdoba;Argentina
214;Rufina;Martorell;rufina.martorell.6631@yahoo.com;+34 886 172 521;2024-05-05;Punta del Este;Uruguay
215;Paulino;Lasa;paulino.lasa.4586@outlook.com;+34837 24 64 37;2024-05-05;Santiago;Chile
216;Milagros;Martín;milagros.martin.2539@hotmail.com;+34945 93 40 67;2024-05-05;Salto;Uruguay
217;Clara;Sanz;clara.sanz.4589@hotmail.com;+34824651418;2024-05-08;Sevilla;España
218;Vasco;Mayo;vasco.mayo.8686@gmail.com;+34 822 32 78 99;2024-05-11;Concepción;Chile
219;Fabricio;Gracia;fabricio.gracia.8687@hotmail.com;+34 875602159;2024-05-12;Barcelona;España
220;Maristela;Mir;maristela.mir.4601@yahoo.com;+34 821971257;2024-05-13;Rosario;Argentina
221;Saturnina;Moles;saturnina.moles.6650@yahoo.com;+34 926 777 823;2024-05-15;Montevideo;Uruguay
222;Jonatan;Galvez;jonatan.galvez.2557@yahoo.com;+34 949 632 459;2024-05-15;Córdoba;Argentina
223;Lázaro;Merino;lazaro.merino.2559@gmail.com;+34 871 136 597;2024-05-16;Salto;Uruguay
224;Eliseo;Mascaró;eliseo.mascaro.6655@yahoo.com;+34841903265;2024-05-17;Rosario;Argentina
225;Ambrosio;Andreu;ambrosio.andreu.2569@gmail.com;+34 857 300 104;2024-05-17;Concepción;Chile
226;Tiburcio;Hidalgo;tiburcio.hidalgo.6666@outlook.com;+34980202549;2024-05-18;Madrid;España
227;Loida;Asensio;loida.asensio.4619@gmail.com;+34 924698204;2024-05-18;Valparaíso;Chile
228;Daniela;Ripoll;daniela.ripoll.6669@outlook.com;+34 931851848;2024-05-18;Barcelona;España
229;Adán;Pintor;adan.pintor.8718@outlook.com;+34 646 69 52 66;2024-05-19;Sevilla;España
230;Felipa;Torrijos;felipa.torrijos.6672@outlook.com;+34 720 63 64 94;2024-05-19;Madrid;España
231;Hermenegildo;Benavente;hermenegildo.benavente.4627@hotmail.com;+34826 736 497;2024-05-20;Rosario;Argentina
232;Celestina;Arteaga;celestina.arteaga.8725@outlook.com;+34885640290;2024-05-20;Rosario;Argentina
233;Fernanda;Salmerón;fernanda.salmeron.2586@gmail.com;+34 874 840 684;2024-05-22;Córdoba;Argentina
234;Montserrat;Planas;montserrat.planas.8731@outlook.com;+34 923644182;2024-05-22;Buenos Aires;Argentina
235;Custodio;Carreras;custodio.carreras.2587@hotmail.com;+34 986821164;2024-05-24;Buenos Aires;Argentina
236;Carmina;Lozano;carmina.lozano.6686@outlook.com;+34 924 612 922;2024-05-24;Sevilla;España
237;Ricarda;Simó;ricarda.simo.4640@gmail.com;+34985040117;2024-05-25;Barcelona;España
238;Antonio;Seco;antonio.seco.2595@outlook.com;+34713 04 28 27;2024-05-26;Sevilla;España
239;Marina;Bello;marina.bello.2596@hotmail.com;+34 838 51 82 54;2024-05-26;Salto;Uruguay
240;Maricruz;Cabanillas;maricruz.cabanillas.6692@yahoo.com;+34921092745;2024-05-28;Rosario;Argentina
241;Mayte;Priego;mayte.priego.6694@outlook.com;+34 888667775;2024-05-29;Concepción;Chile
242;Dora;Villa;dora.villa.2599@hotmail.com;+34884308250;2024-05-30;Sevilla;España
243;Estefanía;Requena;estefania.requena.4647@hotmail.com;+34924 564 713;2024-05-30;Punta del Este;Uruguay
244;Dulce;Solsona;dulce.solsona.4649@outlook.com;+34820 511 283;2024-05-30;Montevideo;Uruguay
245;Rafael;Quero;rafael.quero.8751@hotmail.com;+34 841 013 992;2024-05-31;Barcelona;España
246;Gerónimo;Gallego;geronimo.gallego.6707@hotmail.com;+34 821066948;2024-06-01;Concepción;Chile
247;Humberto;Feijoo;humberto.feijoo.2612@hotmail.com;+34845 93 50 14;2024-06-01;Sevilla;España
248;Dafne;Hervás;dafne.hervas.6710@gmail.com;+34 920 69 62 95;2024-06-01;Sevilla;España
249;Maximiano;Fabra;maximiano.fabra.2615@yahoo.com;+34 843274384;2024-06-02;Punta del Este;Uruguay
250;Rafaela;Arnal;rafaela.arnal.8761@yahoo.com;+34843 760 354;2024-06-03;Salto;Uruguay
251;Esteban;Peralta;esteban.peralta.2619@yahoo.com;+34 987 57 56 89;2024-06-03;Buenos Aires;Argentina
